longitude,latitude,name,url,rating
-78.875046,42.882317,Charlie The Butcher's Express,https://www.tripadvisor.com/Restaurant_Review-g60974-d408874-Reviews-Charlie_The_Butcher_s_Express-Buffalo_New_York.html,4.5
-78.87702,42.924385,Ashker's Juice Bar & Bistro,https://www.tripadvisor.com/Restaurant_Review-g60974-d4549903-Reviews-Ashker_s_Juice_Bar_Bistro-Buffalo_New_York.html,4.5
-78.87235,42.97697,The Delaware,https://www.tripadvisor.com/Restaurant_Review-g60974-d1982196-Reviews-The_Delaware-Buffalo_New_York.html,4.0
-78.87664,42.91789,Agave Mexican Restaurant,https://www.tripadvisor.com/Restaurant_Review-g60974-d6823179-Reviews-Agave_Mexican_Restaurant-Buffalo_New_York.html,4.5
-78.89648,42.906242,Niagara Seafood Inc,https://www.tripadvisor.com/Restaurant_Review-g60974-d7741975-Reviews-Niagara_Seafood_Inc-Buffalo_New_York.html,5.0
-78.87633,42.878395,Pizza Plant Italian Pub,https://www.tripadvisor.com/Restaurant_Review-g60974-d8798868-Reviews-Pizza_Plant_Italian_Pub-Buffalo_New_York.html,4.0
-78.80721,42.83599,Imperial Pizza,https://www.tripadvisor.com/Restaurant_Review-g60974-d409101-Reviews-Imperial_Pizza-Buffalo_New_York.html,4.5
-78.86895,42.946117,Taj Grill,https://www.tripadvisor.com/Restaurant_Review-g60974-d5079089-Reviews-Taj_Grill-Buffalo_New_York.html,4.5
-78.87752,42.917854,Globe Market,https://www.tripadvisor.com/Restaurant_Review-g60974-d847477-Reviews-Globe_Market-Buffalo_New_York.html,4.5
-78.87729,42.89071,Chocolate Bar,https://www.tripadvisor.com/Restaurant_Review-g60974-d836004-Reviews-Chocolate_Bar-Buffalo_New_York.html,4.0
-78.82449,42.80756,Apollo Family Restaurant,https://www.tripadvisor.com/Restaurant_Review-g60974-d4626769-Reviews-Apollo_Family_Restaurant-Buffalo_New_York.html,4.5
-78.850426,42.93857,Parkside Meadow,https://www.tripadvisor.com/Restaurant_Review-g60974-d8673356-Reviews-Parkside_Meadow-Buffalo_New_York.html,4.5
-78.76313,42.915237,P.F. Chang's,https://www.tripadvisor.com/Restaurant_Review-g60974-d2633760-Reviews-P_F_Chang_s-Buffalo_New_York.html,4.0
-78.8773,42.916405,Acropolis Family Restaurant,https://www.tripadvisor.com/Restaurant_Review-g60974-d409072-Reviews-Acropolis_Family_Restaurant-Buffalo_New_York.html,4.0
-78.872635,42.86992,River Works,https://www.tripadvisor.com/Restaurant_Review-g60974-d8624670-Reviews-River_Works-Buffalo_New_York.html,4.0
-78.87596,42.89063,The Lodge,https://www.tripadvisor.com/Restaurant_Review-g60974-d4830530-Reviews-The_Lodge-Buffalo_New_York.html,4.0
-78.693695,42.96674,Brennan's Bowery Bar & Restaurant,https://www.tripadvisor.com/Restaurant_Review-g60974-d820743-Reviews-Brennan_s_Bowery_Bar_Restaurant-Buffalo_New_York.html,4.0
-78.87839,42.91308,Kuni's Sushi Bar,https://www.tripadvisor.com/Restaurant_Review-g60974-d408578-Reviews-Kuni_s_Sushi_Bar-Buffalo_New_York.html,4.5
-78.8774,42.911587,Joe's Deli,https://www.tripadvisor.com/Restaurant_Review-g60974-d5078173-Reviews-Joe_s_Deli-Buffalo_New_York.html,4.0
-78.85083,42.94746,Bob & John's La Hacienda,https://www.tripadvisor.com/Restaurant_Review-g60974-d510228-Reviews-Bob_John_s_La_Hacienda-Buffalo_New_York.html,4.5
-78.87751,42.916615,Cecelia's Ristorante,https://www.tripadvisor.com/Restaurant_Review-g60974-d408579-Reviews-Cecelia_s_Ristorante-Buffalo_New_York.html,4.0
-78.85256,42.9474,Lloyd Taco Factory,https://www.tripadvisor.com/Restaurant_Review-g60974-d9856406-Reviews-Lloyd_Taco_Factory-Buffalo_New_York.html,4.0
-78.87384,42.894043,Rue Franklin,https://www.tripadvisor.com/Restaurant_Review-g60974-d408556-Reviews-Rue_Franklin-Buffalo_New_York.html,4.5
-78.87354,42.89276,Encore,https://www.tripadvisor.com/Restaurant_Review-g60974-d1444341-Reviews-Encore-Buffalo_New_York.html,4.0
-78.74459,42.949635,Zahz Pizza,https://www.tripadvisor.com/Restaurant_Review-g60974-d5008080-Reviews-Zahz_Pizza-Buffalo_New_York.html,5.0
-78.8737,42.8926,Cabaret,https://www.tripadvisor.com/Restaurant_Review-g60974-d905172-Reviews-Cabaret-Buffalo_New_York.html,4.0
-78.87728,42.881058,BRAWLER'S BACK ALLEY DELI,https://www.tripadvisor.com/Restaurant_Review-g60974-d3248490-Reviews-BRAWLER_S_BACK_ALLEY_DELI-Buffalo_New_York.html,4.0
-78.87502,42.902252,Lenox Grill,https://www.tripadvisor.com/Restaurant_Review-g60974-d4020842-Reviews-Lenox_Grill-Buffalo_New_York.html,4.0
-78.850975,42.947437,The Wellington Pub,https://www.tripadvisor.com/Restaurant_Review-g60974-d883394-Reviews-The_Wellington_Pub-Buffalo_New_York.html,4.5
-78.693794,42.9653,Tully's Good Times,https://www.tripadvisor.com/Restaurant_Review-g60974-d1457203-Reviews-Tully_s_Good_Times-Buffalo_New_York.html,4.0
-78.82228,43.01544,Shannon Pub,https://www.tripadvisor.com/Restaurant_Review-g60974-d1058699-Reviews-Shannon_Pub-Buffalo_New_York.html,4.0
-78.87001,42.889973,Marble + Rye,https://www.tripadvisor.com/Restaurant_Review-g60974-d8674781-Reviews-Marble_Rye-Buffalo_New_York.html,4.0
-78.87416,42.895813,Founding Fathers Restaurant,https://www.tripadvisor.com/Restaurant_Review-g60974-d408676-Reviews-Founding_Fathers_Restaurant-Buffalo_New_York.html,4.0
-78.7539,42.8638,The Olive Branch Family Restaurant,https://www.tripadvisor.com/Restaurant_Review-g60974-d5081780-Reviews-The_Olive_Branch_Family_Restaurant-Buffalo_New_York.html,4.0
-78.87692,42.877106,Tim Hortons,https://www.tripadvisor.com/Restaurant_Review-g60974-d9709515-Reviews-Tim_Hortons-Buffalo_New_York.html,4.0
-78.85919,42.947876,Joe's Deli,https://www.tripadvisor.com/Restaurant_Review-g60974-d1064774-Reviews-Joe_s_Deli-Buffalo_New_York.html,4.5
-78.69695,42.992386,Five Guys,https://www.tripadvisor.com/Restaurant_Review-g60974-d4632909-Reviews-Five_Guys-Buffalo_New_York.html,4.0
-78.79169,42.990826,Zetti's Pizza and Pasta,https://www.tripadvisor.com/Restaurant_Review-g60974-d5060296-Reviews-Zetti_s_Pizza_and_Pasta-Buffalo_New_York.html,4.0
